Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-03-01 14:30:10,50.98,50.99,51,50.98,64,50.99,37
2016-03-01 14:30:15,51,51.01,51.03,51,74,51.01,37
2016-03-01 14:30:20,51.01,51.02,51.04,51.01,78,51.03,39
2016-03-01 14:30:25,51.02,51.08,51.1,51.01,218,51.06,155
2016-03-01 14:30:30,51.08,51.03,51.08,51.02,319,51.06,127
2016-03-01 14:30:35,51.03,51,51.03,51,54,51.02,46
2016-03-01 14:30:40,51.01,51.02,51.03,50.97,217,51,122
2016-03-01 14:30:45,51.02,51.02,51.03,51.01,36,51.02,31
2016-03-01 14:30:50,51.02,51.03,51.05,51.01,75,51.03,65
2016-03-01 14:30:55,51.02,51.05,51.05,51.01,29,51.03,24
2016-03-01 14:31:00,51.05,50.98,51.05,50.98,204,51.01,125
2016-03-01 14:31:05,50.99,50.99,51,50.99,41,50.99,35
2016-03-01 14:31:10,50.99,50.99,51,50.98,26,50.99,24
2016-03-01 14:31:15,50.98,50.96,50.98,50.95,91,50.97,59
2016-03-01 14:31:20,50.95,50.93,50.95,50.93,123,50.94,95
2016-03-01 14:31:25,50.94,50.96,50.96,50.93,58,50.95,50
2016-03-01 14:31:30,50.96,50.97,50.97,50.96,162,50.96,96
2016-03-01 14:31:35,50.98,50.97,50.98,50.96,123,50.97,69
2016-03-01 14:31:40,50.97,50.95,50.98,50.95,113,50.97,49
2016-03-01 14:31:45,50.95,50.92,50.95,50.92,90,50.93,42
2016-03-01 14:31:50,50.92,50.94,50.94,50.91,48,50.93,16
2016-03-01 14:31:55,50.94,50.95,50.95,50.93,88,50.95,62
2016-03-01 14:32:00,50.96,50.95,50.96,50.94,259,50.95,79
2016-03-01 14:32:05,50.95,50.96,50.96,50.95,17,50.95,14
2016-03-01 14:32:10,50.96,50.99,50.99,50.96,42,50.98,32
2016-03-01 14:32:15,51,51,51,50.99,14,51,4
2016-03-01 14:32:20,51,51.01,51.01,51,28,51,25
2016-03-01 14:32:25,51.01,51.02,51.02,51,107,51.01,95
2016-03-01 14:32:30,51.02,51.03,51.03,51.01,124,51.02,34
2016-03-01 14:32:35,51.03,51.03,51.03,51.02,60,51.03,46
2016-03-01 14:32:40,51.03,51.04,51.04,51.02,71,51.03,64
2016-03-01 14:32:45,51.04,51.02,51.04,51.02,57,51.03,23
2016-03-01 14:32:50,51.02,51.01,51.02,51,93,51.01,51
2016-03-01 14:32:55,51.01,51.01,51.02,51,69,51.01,34
2016-03-01 14:33:00,51,51.03,51.04,50.99,141,51,61
2016-03-01 14:33:05,51.04,51.04,51.04,51.04,6,51.04,6
2016-03-01 14:33:10,51.04,51.05,51.05,51.04,46,51.05,15
2016-03-01 14:33:15,51.05,51.08,51.09,51.05,76,51.07,33
2016-03-01 14:33:20,51.07,51.05,51.07,51.05,85,51.06,36
2016-03-01 14:33:25,51.06,51.04,51.07,51.04,150,51.06,62
2016-03-01 14:33:30,51.04,51.03,51.05,51.02,89,51.04,49
2016-03-01 14:33:35,51.02,51,51.02,51,95,51.01,67
2016-03-01 14:33:40,51,50.99,51,50.97,200,50.99,112
2016-03-01 14:33:45,50.99,50.97,51,50.97,86,50.99,70
2016-03-01 14:33:50,50.97,50.98,50.99,50.97,31,50.98,28
2016-03-01 14:33:55,50.98,50.98,50.98,50.97,109,50.98,90
2016-03-01 14:34:00,50.98,50.98,50.99,50.97,59,50.98,23
2016-03-01 14:34:05,50.98,51,51,50.98,51,50.99,12
2016-03-01 14:34:10,51,51,51,50.99,33,51,26
2016-03-01 14:34:15,51.01,51.01,51.02,51,48,51.01,33
2016-03-01 14:34:20,51.02,51.02,51.02,51.01,14,51.02,9
2016-03-01 14:34:25,51.02,51.03,51.04,51.01,35,51.02,27
2016-03-01 14:34:30,51.03,51.03,51.04,51.03,62,51.03,26
2016-03-01 14:34:35,51.04,51.07,51.07,51.03,123,51.05,62
2016-03-01 14:34:40,51.07,51.08,51.08,51.06,144,51.07,98
2016-03-01 14:34:45,51.08,51.09,51.09,51.06,96,51.08,70
2016-03-01 14:34:50,51.08,51.09,51.09,51.06,133,51.08,50
2016-03-01 14:34:55,51.05,51.06,51.07,51.05,52,51.06,20
2016-03-01 14:35:00,51.06,51.07,51.07,51.05,97,51.07,57
2016-03-01 14:35:05,51.08,51.07,51.08,51.07,10,51.07,6
2016-03-01 14:35:10,51.07,51.11,51.11,51.07,269,51.09,162
2016-03-01 14:35:15,51.08,51.09,51.11,51.08,54,51.09,41
2016-03-01 14:35:20,51.1,51.09,51.11,51.09,105,51.1,45
2016-03-01 14:35:25,51.08,51.07,51.08,51.06,59,51.07,41
2016-03-01 14:35:30,51.08,51.06,51.09,51.06,85,51.08,37
2016-03-01 14:35:35,51.06,51.05,51.07,51.05,100,51.06,60
2016-03-01 14:35:40,51.05,51.06,51.06,51.05,32,51.05,25
2016-03-01 14:35:45,51.06,51.08,51.08,51.06,51,51.07,35
2016-03-01 14:35:50,51.08,51.06,51.08,51.06,115,51.07,27
2016-03-01 14:35:55,51.07,51.1,51.1,51.06,96,51.08,57
2016-03-01 14:36:00,51.1,51.1,51.1,51.09,51,51.1,33
2016-03-01 14:36:05,51.1,51.08,51.1,51.06,112,51.08,59
2016-03-01 14:36:10,51.07,51.07,51.08,51.06,148,51.07,78
2016-03-01 14:36:15,51.07,51.07,51.07,51.07,2,51.07,2
2016-03-01 14:36:20,51.08,51.08,51.1,51.07,62,51.08,47
2016-03-01 14:36:25,51.1,51.1,51.1,51.09,94,51.1,35
2016-03-01 14:36:30,51.1,51.12,51.12,51.09,65,51.11,44
2016-03-01 14:36:35,51.12,51.08,51.12,51.08,151,51.1,87
2016-03-01 14:36:40,51.07,51.08,51.08,51.07,27,51.08,15
2016-03-01 14:36:45,51.07,51.09,51.09,51.05,130,51.07,89
2016-03-01 14:36:50,51.1,51.09,51.12,51.08,575,51.09,278
2016-03-01 14:36:55,51.09,51.08,51.09,51.06,82,51.08,38
2016-03-01 14:37:00,51.08,51.07,51.08,51.06,217,51.07,108
2016-03-01 14:37:05,51.08,51.09,51.09,51.08,15,51.09,12
2016-03-01 14:37:10,51.09,51.08,51.09,51.08,43,51.08,23
2016-03-01 14:37:15,51.07,51.07,51.08,51.07,8,51.07,6
2016-03-01 14:37:20,51.08,51.09,51.09,51.07,42,51.09,20
2016-03-01 14:37:25,51.09,51.08,51.1,51.08,31,51.09,20
2016-03-01 14:37:30,51.08,51.09,51.09,51.08,10,51.08,9
2016-03-01 14:37:35,51.09,51.08,51.1,51.08,74,51.09,53
2016-03-01 14:37:40,51.08,51.09,51.09,51.08,16,51.09,7
2016-03-01 14:37:45,51.09,51.09,51.1,51.09,4,51.09,3
2016-03-01 14:37:50,51.1,51.08,51.1,51.08,52,51.09,15
2016-03-01 14:37:55,51.08,51.09,51.09,51.08,81,51.09,7
2016-03-01 14:38:00,51.09,51.1,51.11,51.08,115,51.1,76
2016-03-01 14:38:05,51.11,51.12,51.12,51.1,148,51.12,41
