Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-01-02 14:30:05,45.85,45.86,45.89,45.84,230,45.86,93
2016-01-02 14:30:10,45.86,45.89,45.89,45.85,65,45.86,54
2016-01-02 14:30:15,45.88,45.91,45.92,45.87,76,45.9,62
2016-01-02 14:30:20,45.9,45.97,45.97,45.88,121,45.93,104
2016-01-02 14:30:25,45.96,46.0,46.04,45.96,288,45.99,119
2016-01-02 14:30:30,46.0,46.05,46.05,45.98,127,46.01,83
2016-01-02 14:30:35,46.05,46.07,46.09,46.04,145,46.06,119
2016-01-02 14:30:40,46.09,46.04,46.1,46.04,308,46.06,122
2016-01-02 14:30:45,46.02,45.95,46.03,45.95,164,46.0,65
2016-01-02 14:30:50,45.93,45.94,45.96,45.91,94,45.93,48
2016-01-02 14:30:55,45.98,45.97,45.98,45.94,63,45.96,38
2016-01-02 14:31:00,45.97,45.91,45.97,45.91,133,45.94,53
2016-01-02 14:31:05,45.91,45.95,45.97,45.91,136,45.95,72
2016-01-02 14:31:10,45.95,45.95,45.95,45.94,80,45.95,27
2016-01-02 14:31:15,45.95,45.88,45.95,45.87,234,45.92,72
2016-01-02 14:31:20,45.86,45.86,45.87,45.84,148,45.85,63
2016-01-02 14:31:25,45.86,45.85,45.87,45.85,26,45.86,23
2016-01-02 14:31:30,45.84,45.87,45.87,45.83,17,45.84,16
2016-01-02 14:31:35,45.88,45.92,45.92,45.87,104,45.88,46
2016-01-02 14:31:40,45.93,45.95,45.96,45.92,305,45.94,109
2016-01-02 14:31:45,45.95,45.99,46.05,45.95,278,46.0,113
2016-01-02 14:31:50,46.0,46.03,46.03,45.99,179,46.01,53
2016-01-02 14:31:55,46.02,46.07,46.08,46.02,75,46.05,54
2016-01-02 14:32:00,46.07,46.04,46.07,46.03,69,46.05,48
2016-01-02 14:32:05,46.03,46.02,46.04,46.02,102,46.03,21
2016-01-02 14:32:10,46.02,45.99,46.03,45.99,256,46.01,129
2016-01-02 14:32:15,45.98,45.99,46.01,45.98,139,45.99,51
2016-01-02 14:32:20,45.99,46.05,46.05,45.99,227,46.01,100
2016-01-02 14:32:25,46.03,46.03,46.06,46.03,74,46.04,50
2016-01-02 14:32:30,46.03,46.0,46.05,46.0,199,46.03,81
2016-01-02 14:32:35,46.0,46.02,46.03,46.0,365,46.03,134
2016-01-02 14:32:40,46.02,46.03,46.03,46.02,31,46.03,20
2016-01-02 14:32:45,46.04,46.04,46.05,46.03,76,46.04,49
2016-01-02 14:32:50,46.05,46.07,46.09,46.05,28,46.07,18
2016-01-02 14:32:55,46.08,46.12,46.13,46.08,67,46.11,31
2016-01-02 14:33:00,46.12,46.09,46.12,46.09,66,46.1,42
2016-01-02 14:33:05,46.09,46.06,46.11,46.06,102,46.09,39
2016-01-02 14:33:10,46.07,46.1,46.11,46.07,29,46.1,26
2016-01-02 14:33:15,46.09,46.1,46.1,46.08,33,46.09,24
2016-01-02 14:33:20,46.09,46.13,46.14,46.09,37,46.12,18
2016-01-02 14:33:25,46.14,46.18,46.19,46.14,50,46.16,22
2016-01-02 14:33:30,46.19,46.17,46.19,46.16,123,46.18,51
2016-01-02 14:33:35,46.16,46.16,46.18,46.16,41,46.17,27
2016-01-02 14:33:40,46.17,46.17,46.17,46.17,4,46.17,4
2016-01-02 14:33:45,46.17,46.21,46.23,46.16,210,46.21,91
2016-01-02 14:33:50,46.21,46.21,46.22,46.21,20,46.21,12
2016-01-02 14:33:55,46.2,46.21,46.21,46.2,19,46.2,11
2016-01-02 14:34:00,46.2,46.21,46.21,46.18,26,46.2,17
2016-01-02 14:34:05,46.19,46.16,46.2,46.16,69,46.18,15
2016-01-02 14:34:10,46.16,46.16,46.16,46.16,0,46.16,0
2016-01-02 14:34:15,46.14,46.13,46.15,46.13,33,46.14,30
2016-01-02 14:34:20,46.13,46.13,46.14,46.13,22,46.14,13
2016-01-02 14:34:25,46.13,46.16,46.19,46.13,68,46.15,48
2016-01-02 14:34:30,46.15,46.15,46.17,46.13,64,46.15,51
2016-01-02 14:34:35,46.14,46.09,46.14,46.09,73,46.12,40
2016-01-02 14:34:40,46.08,46.11,46.11,46.05,65,46.08,55
2016-01-02 14:34:45,46.1,46.06,46.1,46.05,135,46.06,30
2016-01-02 14:34:50,46.06,46.09,46.09,46.05,94,46.07,60
2016-01-02 14:34:55,46.1,46.13,46.14,46.1,83,46.12,47
2016-01-02 14:35:00,46.13,46.14,46.14,46.13,14,46.14,11
2016-01-02 14:35:05,46.14,46.14,46.15,46.14,132,46.14,26
2016-01-02 14:35:10,46.14,46.14,46.15,46.14,86,46.14,34
2016-01-02 14:35:15,46.14,46.14,46.15,46.14,39,46.14,25
2016-01-02 14:35:20,46.15,46.17,46.18,46.14,54,46.17,36
2016-01-02 14:35:25,46.17,46.19,46.2,46.16,36,46.19,16
2016-01-02 14:35:30,46.19,46.19,46.19,46.17,95,46.19,54
2016-01-02 14:35:35,46.19,46.2,46.2,46.19,7,46.2,6
2016-01-02 14:35:40,46.2,46.19,46.2,46.19,82,46.19,49
2016-01-02 14:35:45,46.2,46.18,46.2,46.18,55,46.19,26
2016-01-02 14:35:50,46.19,46.21,46.21,46.18,89,46.2,21
2016-01-02 14:35:55,46.22,46.23,46.24,46.2,54,46.22,28
2016-01-02 14:36:00,46.23,46.19,46.24,46.19,195,46.22,72
2016-01-02 14:36:05,46.18,46.16,46.19,46.15,54,46.16,27
2016-01-02 14:36:10,46.16,46.17,46.18,46.16,15,46.17,11
2016-01-02 14:36:15,46.17,46.16,46.17,46.16,45,46.17,24
2016-01-02 14:36:20,46.16,46.16,46.17,46.14,71,46.15,39
2016-01-02 14:36:25,46.15,46.14,46.15,46.14,24,46.14,18
2016-01-02 14:36:30,46.15,46.14,46.16,46.14,63,46.14,29
2016-01-02 14:36:35,46.14,46.13,46.14,46.13,232,46.13,60
2016-01-02 14:36:40,46.13,46.13,46.15,46.12,62,46.12,34
2016-01-02 14:36:45,46.14,46.12,46.14,46.1,63,46.12,33
2016-01-02 14:36:50,46.09,46.12,46.12,46.07,67,46.1,24
2016-01-02 14:36:55,46.12,46.12,46.13,46.11,56,46.12,40
2016-01-02 14:37:00,46.11,46.12,46.13,46.11,18,46.12,16
2016-01-02 14:37:05,46.14,46.12,46.14,46.12,59,46.13,26
2016-01-02 14:37:10,46.13,46.14,46.14,46.12,16,46.13,12
2016-01-02 14:37:15,46.13,46.08,46.13,46.07,68,46.1,38
2016-01-02 14:37:20,46.07,46.03,46.07,46.02,200,46.06,95
2016-01-02 14:37:25,46.03,46.03,46.03,46.02,32,46.03,24
2016-01-02 14:37:30,46.03,46.03,46.04,46.02,114,46.03,52
2016-01-02 14:37:35,46.03,46.01,46.05,46.0,278,46.03,121
2016-01-02 14:37:40,46.0,46.04,46.04,46.0,24,46.02,15
2016-01-02 14:37:45,46.05,46.0,46.05,45.99,190,46.01,93
2016-01-02 14:37:50,46.0,45.99,46.0,45.99,233,46.0,75
2016-01-02 14:37:55,46.0,45.99,46.0,45.99,79,45.99,42
2016-01-02 14:38:00,46.0,46.0,46.01,45.99,228,46.0,115
2016-01-02 14:38:05,46.0,46.0,46.01,45.99,120,46.0,58
2016-01-02 14:38:10,46.0,46.0,46.0,45.99,50,46.0,14
2016-01-02 14:38:15,46.0,46.0,46.0,45.99,20,45.99,8
2016-01-02 14:38:20,46.0,45.98,46.0,45.98,260,45.99,84
2016-01-02 14:38:25,45.98,45.98,46.0,45.98,234,45.99,100
2016-01-02 14:38:30,45.98,45.98,45.99,45.98,190,45.98,55
2016-01-02 14:38:35,45.98,45.97,45.99,45.97,157,45.98,56
2016-01-02 14:38:40,45.98,45.95,45.98,45.95,205,45.96,112
2016-01-02 14:38:45,45.96,45.99,45.99,45.96,221,45.97,96
2016-01-02 14:38:50,45.98,46.0,46.0,45.98,23,45.99,13
2016-01-02 14:38:55,46.0,46.02,46.02,46.0,78,46.02,16
2016-01-02 14:39:00,46.02,46.01,46.02,45.99,57,46.0,42
2016-01-02 14:39:05,46.01,46.0,46.01,46.0,6,46.0,6
