Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-02-19 14:30:10,51.82,51.81,51.87,51.63,669,51.79,486
2016-02-19 14:30:15,51.81,51.96,51.96,51.8,180,51.89,150
2016-02-19 14:30:20,51.96,51.98,52.02,51.92,227,51.97,211
2016-02-19 14:30:25,51.97,51.99,52.0,51.94,88,51.97,79
2016-02-19 14:30:30,52.0,52.0,52.0,51.96,69,51.98,49
2016-02-19 14:30:35,52.01,52.01,52.02,51.98,136,51.99,49
2016-02-19 14:30:40,52.01,51.98,52.01,51.96,50,51.98,43
2016-02-19 14:30:45,51.97,51.99,52.0,51.97,41,51.99,31
2016-02-19 14:30:50,51.99,51.92,51.99,51.92,100,51.97,64
2016-02-19 14:30:55,51.94,51.97,51.97,51.92,67,51.94,51
2016-02-19 14:31:00,51.95,51.99,51.99,51.95,86,51.98,78
2016-02-19 14:31:05,52.0,51.99,52.01,51.99,73,52.0,67
2016-02-19 14:31:10,51.99,51.97,51.99,51.97,29,51.98,28
2016-02-19 14:31:15,51.97,51.99,51.99,51.97,45,51.98,26
2016-02-19 14:31:20,51.99,52.0,52.0,51.98,54,51.99,38
2016-02-19 14:31:25,51.99,51.99,52.0,51.99,20,51.99,16
2016-02-19 14:31:30,51.99,52.0,52.01,51.98,109,52.0,93
2016-02-19 14:31:35,52.0,52.0,52.0,51.99,11,52.0,10
2016-02-19 14:31:40,52.0,52.0,52.01,51.99,154,52.0,120
2016-02-19 14:31:45,51.99,52.0,52.0,51.98,24,51.99,20
2016-02-19 14:31:50,52.0,52.0,52.0,51.99,168,52.0,60
2016-02-19 14:31:55,52.0,52.0,52.01,52.0,80,52.0,64
2016-02-19 14:32:00,52.0,52.0,52.0,51.99,187,52.0,87
2016-02-19 14:32:05,52.0,52.0,52.01,51.99,133,52.0,91
2016-02-19 14:32:10,52.0,52.0,52.0,51.99,90,52.0,78
2016-02-19 14:32:15,52.0,52.0,52.01,51.99,85,52.0,80
2016-02-19 14:32:20,52.0,51.99,52.0,51.98,63,51.99,55
2016-02-19 14:32:25,51.99,52.02,52.02,51.99,71,52.0,57
2016-02-19 14:32:30,52.03,52.0,52.06,52.0,108,52.03,82
2016-02-19 14:32:35,52.0,52.02,52.02,52.0,128,52.01,80
2016-02-19 14:32:40,52.01,52.0,52.02,51.99,94,52.0,73
2016-02-19 14:32:45,52.0,52.02,52.02,51.99,73,52.0,36
2016-02-19 14:32:50,52.02,52.04,52.04,52.02,37,52.03,36
2016-02-19 14:32:55,52.04,52.05,52.06,52.04,42,52.05,29
2016-02-19 14:33:00,52.05,52.05,52.05,52.05,0,52.05,0
2016-02-19 14:33:05,52.07,52.07,52.08,52.06,55,52.07,42
